"id"	"language"	"center"	"call_status"	"job_status"	"customer_status"	"comment"	"score"	"created_at"	"updated_at"	"agent_id"	"phone_no"
"62"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"26/5/2024 09:24:11"	"26/5/2024 09:24:11"	"28"	"070451590"
"63"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"26/5/2024 09:24:24"	"26/5/2024 09:24:24"	"27"	"077261590"
"65"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"26/5/2024 09:24:52"	"26/5/2024 09:24:52"	"28"	"070451590"
"66"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"29/5/2024 05:25:08"	"29/5/2024 05:25:08"	"27"	"077261590"
"68"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"29/5/2024 05:25:42"	"29/5/2024 05:25:42"	"28"	"070451590"
"69"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"29/5/2024 05:25:55"	"29/5/2024 05:25:55"	"27"	"077261590"
"70"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"29/5/2024 05:26:09"	"29/5/2024 05:26:09"	"28"	"077261597"
"71"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 13:56:03"	"4/6/2024 13:56:03"	"27"	"077261590"
"72"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 13:56:46"	"4/6/2024 13:56:46"	"28"	"077261597"
"73"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 13:57:25"	"4/6/2024 13:57:25"	"28"	"070451590"
"74"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 13:58:22"	"4/6/2024 13:58:22"	"27"	"077261590"
"75"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 13:59:07"	"4/6/2024 13:59:07"	"28"	"077261597"
"76"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 13:59:49"	"4/6/2024 13:59:49"	"28"	"070451590"
"77"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:02:36"	"4/6/2024 14:02:36"	"27"	"077261590"
"78"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:02:48"	"4/6/2024 14:02:48"	"28"	"077261597"
"79"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:03:02"	"4/6/2024 14:03:02"	"28"	"070451590"
"80"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:03:15"	"4/6/2024 14:03:15"	"27"	"077261590"
"81"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:05:26"	"4/6/2024 14:05:26"	"27"	"077261590"
"82"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:05:37"	"4/6/2024 14:05:37"	"28"	"077261597"
"83"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:05:50"	"4/6/2024 14:05:50"	"28"	"070451590"
"84"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:06:02"	"4/6/2024 14:06:02"	"27"	"077261590"
"85"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:06:15"	"4/6/2024 14:06:15"	"28"	"077261597"
"86"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:06:27"	"4/6/2024 14:06:27"	"28"	"070451590"
"87"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:07:12"	"4/6/2024 14:07:12"	"27"	"077261590"
"88"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:12:03"	"4/6/2024 14:12:03"	"27"	"077261590"
"89"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:13:18"	"4/6/2024 14:13:18"	"27"	"077261597"
"90"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:14:10"	"4/6/2024 14:14:10"	"28"	"070451590"
"91"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:15:17"	"4/6/2024 14:15:17"	"27"	"077261590"
"92"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:15:53"	"4/6/2024 14:15:53"	"27"	"077261597"
"93"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:16:37"	"4/6/2024 14:16:37"	"28"	"070451590"
"94"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:17:25"	"4/6/2024 14:17:25"	"27"	"077261590"
"95"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:18:10"	"4/6/2024 14:18:10"	"27"	"077261597"
"96"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:18:57"	"4/6/2024 14:18:57"	"28"	"070451590"
"97"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"4/6/2024 14:19:36"	"4/6/2024 14:19:36"	"27"	"077261590"
"98"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"4/6/2024 14:20:25"	"4/6/2024 14:20:25"	"27"	"077261597"
"99"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"4/6/2024 14:21:09"	"4/6/2024 14:21:09"	"28"	"070451590"
"100"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"5/6/2024 04:21:17"	"5/6/2024 04:21:17"	"27"	"077261590"
"101"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"5/6/2024 04:21:40"	"5/6/2024 04:21:40"	"27"	"077261597"
"102"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"5/6/2024 04:22:00"	"5/6/2024 04:22:00"	"28"	"070451590"
"103"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"5/6/2024 04:22:29"	"5/6/2024 04:22:29"	"27"	"077261590"
"104"	"sinhala"	"colombo"	"not answered"	"not approved"	"N/A"	"N/A"	"0"	"5/6/2024 04:22:51"	"5/6/2024 04:22:51"	"27"	"077261597"
"105"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"5/6/2024 04:23:10"	"5/6/2024 04:23:10"	"28"	"070451590"
